Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Iceland,13291.645409625697,13093.225540939531,13018.599167139417,13099.094025131793,13022.388923007764,13141.852130181387,13199.98530005462,13356.682684602218,13492.18656529131,13716.313969829982,13758.041714056573,13666.199217612791,13777.742635593582,13740.314237137167,13845.748494312456,13694.679531985854,14317.707563168187,14526.331442108734,14950.385830704286,14634.42939660159,14502.58728240928,14261.658978289224,14250.001277662997,14244.175013426342,14216.587656662346,14278.557484690096,14191.989732730928,14235.9706989937,14280.12193147566,14134.231362738918,13941.839870543421
Ireland,61652.27864809546,62367.351891063336,62158.02881121369,62858.701186059276,64332.373000505766,66782.8314035802,68600.94465495928,69505.54054100405,71924.92983812735,73247.43534574908,77038.0217094248,80232.2977284361,78275.28566564973,79242.35396018965,76961.4264273523,79222.49197819762,78634.34059148404,76434.29265759127,75441.54874030106,69085.01587649091,70087.95274482852,65029.04575407371,65426.13580289566,66001.27241487766,65047.68435832312,67983.43709277209,69041.8225578704,70863.39440572192,69998.09262386366,67822.1063215308,66098.75068016925
Italy,517991.61068784026,503760.80316238414,505039.5963100813,511059.5962281123,492228.33829910087,511734.17746681947,504950.8684251681,521072.0547776635,536008.6150727834,531850.9237539989,538424.0013903346,530039.9310572358,531633.1042995944,559110.0808268597,558433.1096387666,558639.9878176262,547687.5977728965,565389.2289268512,534327.063366032,476313.9861791921,481781.11388832686,476476.15971723455,467036.0028688095,415242.3808588213,393484.6152263459,401771.67408466485,399801.3079106131,414043.4103882872,388460.2531850911,380439.15742657747,352425.15464011085
Japan,1206061.8472760725,1211718.4595878094,1219843.4522642372,1212355.7053689896,1273580.4224715822,1295257.769149685,1304484.9836413122,1295530.7507693633,1246554.4310750463,1270684.853489423,1289217.8949423507,1262827.3639394674,1285107.8472276614,1280413.3195930717,1275208.217602063,1288622.633092326,1272113.015390104,1311399.241628988,1248395.5896869863,1179536.1744385648,1229192.8013016253,1281621.0861804013,1321698.3860221966,1340696.6682987057,1294776.5540374657,1261703.7523006264,1247860.9347865789,1230488.1712837776,1186906.0563072336,1157042.4844066154,1093338.587056174
Kazakhstan,380186.58330586366,368300.25159323786,345524.7136247889,312636.53101978265,277759.57959058334,278393.84642014204,271328.7017223936,287263.4010991013,295259.0602803441,265270.66713247617,303144.9035566549,304394.29648685595,323618.9297508822,346736.39603140275,356054.7574308322,370625.00428035384,398011.91469733714,388643.3037209246,378435.6919669335,365392.7591660233,381414.8660059266,355241.10138719296,346189.4268348067,340001.7923746923,361651.31168142497,367697.3278551537,365833.1121102929,391863.57642320864,404504.76815672836,367057.49628167076,342098.1196971519
Latvia,13632.619457296443,11322.073895219011,6163.185748414202,2829.4582467896184,-2017.5144276383367,-2248.4297482432303,-2365.1863449516914,-1155.3143364898929,-709.7455756594526,2181.5911810886932,-1683.3439932191252,-1602.2111550049988,81.3992959245329,688.772336937998,4343.522464707417,5055.856101514192,4743.944499306217,5616.032790895753,4769.3600314268215,6979.91379705817,9828.953282758639,8637.23654329908,7095.5553149762345,8299.432889603351,12116.739359312503,10903.67133351435,9081.937297901788,7666.445759211145,10658.023007345822,8838.968409328549,11284.635393997434
Liechtenstein,237.1787505628568,229.0758943392501,240.05291606072305,243.84097570161288,249.29289518278836,239.7095483445252,233.78745610477552,257.63022202221276,260.91485666971505,256.7308075078191,272.7344893764372,249.45649511426663,256.7314572857795,270.8327064136925,273.2438099590518,273.87249490413666,282.30367153969274,262.1427087939726,283.92180842499675,266.1850756907442,249.78940529291629,240.62441575173864,250.11282068569713,248.81818116043016,217.68878732108456,210.79707732322632,198.6892458583565,205.58587121490464,204.0529117727376,200.67512280245472,185.66591161182623
Lithuania,42786.657334978285,44433.2135762067,25627.34810040862,18546.49394974162,17642.67072921066,17884.82035418063,24403.351944024267,22736.12833840035,16038.359869606606,13909.366200413095,10013.647091932897,12956.856529710914,14269.067947421361,15198.97007326913,16545.325535349282,18286.987305785384,19029.31083956764,19198.764037691908,17583.630348792183,12565.933913615605,10376.207919115635,10540.588697658208,10893.675577627408,10373.874395740913,11071.60561948385,12201.63939534361,13084.871511360954,13793.283176692195,14430.51464967681,14361.952130498581,13529.663428961703
Luxembourg,12731.402874654663,13294.3652951732,12653.76577406507,12690.130496627607,12004.19593024139,9555.88411388545,9583.101958813519,8850.396852759428,8052.449649388531,8446.530620352518,9020.245012519112,9543.893004032227,10332.279187605023,10803.445296748461,12131.473245859555,12427.867124584263,12339.503227504725,11843.553256450814,11715.517941312906,11161.113304866018,11953.645500975443,11742.314735605507,11435.980021412726,10767.470396642735,10362.843541757891,9944.665457603149,9609.500535463416,9880.304166414346,10322.123706366921,10376.398333233821,8582.249676663576
Malta,2618.431086552902,2471.841548188825,2508.071303225943,3110.941867396235,2889.6091632809976,2687.057177209674,2777.7718459076978,2809.2272793495813,2783.629620121528,2840.25649056365,2744.774975968992,3023.5783708053914,3068.0970686556693,3290.336861361466,3175.7836845369893,2997.1712025558318,3050.545566681849,3138.378841343945,3031.8951522521306,2896.694426751008,2973.5311090535524,2959.0878628698392,3124.489447622723,2797.5486588650933,2803.034244570674,2125.3508350024063,1843.1598201950185,2029.4439418875852,2038.207779215262,2155.6419137706534,2120.1399258077945
Monaco,102.34753556892667,103.19977483659063,108.84230111370844,107.99325348571824,108.68531650755055,105.31932548488288,109.11480306059636,107.74106894277388,106.83927863008216,108.05069417281292,106.1864899598353,106.63029719235136,107.0188829909146,104.00603771430364,98.83467523612832,97.6561910221469,93.25081267095209,93.03235947296828,93.71712863937496,90.05944367966599,87.67635821454624,86.21236498597798,89.0550058777829,91.0534824347096,85.13068725198038,88.25754997500772,86.36664038526477,83.27146711714072,86.6022185715701,83.0572205861777,69.69459568974017
Netherlands,228018.1666912618,236001.405700379,236403.3071195184,236784.1145931633,237521.3560576312,237390.52739084707,247673.55986849562,239230.78198141555,239448.18673040633,226880.73805515197,225149.492089445,226357.71722464362,223981.64557293605,225042.4788299977,226355.6013721795,220426.4911818759,215280.65547424776,213475.90892887875,213345.39235384623,207646.02408165683,219332.04468904433,205574.61277467542,201546.7199338038,200775.33477395648,192501.91314585498,199424.2443815817,199767.8876962562,196083.74384733062,190941.65401590682,185112.75964123293,168510.1684953885
New Zealand,44548.84224253536,43527.63607622821,44820.262406882655,43758.42447272155,44948.776896556454,46565.65190750258,48991.24110525362,51073.05779136312,48180.73927438497,47148.67875342555,48061.494548400064,50399.56550438375,51726.17682966005,52740.60035091626,52635.34973334396,56452.71508611475,58518.86142004091,58057.74630464035,49977.04281652822,48418.27726511786,48102.81080051475,47614.07062873739,52539.62859776974,52218.74828978599,52788.787306830694,52640.77719791205,50844.73747045424,54027.341491980915,54689.51565215947,56068.09530756222,54088.62212811939
Norway,40883.8908461482,36723.408775578995,35680.319181932544,36041.52996491942,40018.71761176207,36104.416802508225,39740.4664460548,40792.11195392134,38359.54067259245,37681.89076720733,35387.526012898226,34683.643061315015,32514.114375368496,31688.982438371506,32470.998339563506,34131.977283489396,32230.011275653895,33802.509399381976,31069.889018306196,25300.0924318942,31090.78585719989,28829.270941052815,31968.20990959101,31674.200471797863,35700.813576072076,40980.475143785974,40127.31437512202,40229.69892945982,39420.93292255377,35669.359249344474,30041.95571860128
