Country,Year,Emissions
Spain,1999,326925.7021738206
Sweden,1999,22630.527371774537
Switzerland,1999,52178.765625019936
Türkiye,1999,206584.47909536058
Ukraine,1999,418752.5512113614
United Kingdom of Great Britain and Northern Ireland,1999,730371.899381018
United States of America,1999,6328900.894492759
Australia,2000,555489.946179101
Austria,2000,66335.33277551009
Belarus,2000,46508.14958500983
Belgium,2000,147191.15365364365
Bulgaria,2000,40304.116924732916
Canada,2000,681687.0013000976
Croatia,2000,18958.21946666723
Cyprus,2000,8163.938031574359
Czechia,2000,141971.33500466615
Denmark,2000,77865.82538265624
Estonia,2000,12774.803737068642
European Union (Convention),2000,4142748.2347827954
Finland,2000,45685.40196707338
France,2000,527644.5677125835
Germany,2000,1040040.6550515216
Greece,2000,124139.63490241014
Hungary,2000,74278.9324049103
Iceland,2000,13758.041714056573
Ireland,2000,77038.0217094248
Italy,2000,538424.0013903346
Japan,2000,1289217.8949423507
Kazakhstan,2000,303144.9035566549
Latvia,2000,-1683.3439932191252
Liechtenstein,2000,272.7344893764372
Lithuania,2000,10013.647091932897
Luxembourg,2000,9020.245012519112
Malta,2000,2744.774975968992
Monaco,2000,106.1864899598353
Netherlands,2000,225149.492089445
New Zealand,2000,48061.494548400064
Norway,2000,35387.526012898226
Poland,2000,359423.6212364855
Portugal,2000,80373.56083120074
Romania,2000,109316.17484068646
Russian Federation,2000,1421744.1142781961
Slovakia,2000,39590.85310330188
Slovenia,2000,12568.627152365481
Spain,2000,339879.5633733332
Sweden,2000,20143.142179480277
Switzerland,2000,59103.94743654172
Türkiye,2000,230865.091059066
Ukraine,2000,405004.9857227269
United Kingdom of Great Britain and Northern Ireland,2000,730246.2862552139
United States of America,2000,6533374.784374166
Australia,2001,573384.0539924055
Austria,2001,55087.40839379537
Belarus,2001,46107.230459787716
Belgium,2001,145804.49681820863
Bulgaria,2001,45838.534143624594
Canada,2001,663772.5882218963
Croatia,2001,18899.51656170031
Cyprus,2001,8079.1521679716425
Czechia,2001,141599.59523348857
Denmark,2001,79111.72946874305
Estonia,2001,12969.223442364377
European Union (Convention),2001,4142209.789734554
Finland,2001,50293.40129363384
France,2001,519968.1361589422
Germany,2001,1045221.217669032
Greece,2001,125104.6510185908
Hungary,2001,74417.16123219368
Iceland,2001,13666.199217612791
Ireland,2001,80232.2977284361
Italy,2001,530039.9310572358
Japan,2001,1262827.3639394674
Kazakhstan,2001,304394.29648685595
Latvia,2001,-1602.2111550049988
Liechtenstein,2001,249.45649511426663
Lithuania,2001,12956.856529710914
Luxembourg,2001,9543.893004032227
Malta,2001,3023.5783708053914
Monaco,2001,106.63029719235136
Netherlands,2001,226357.71722464362
New Zealand,2001,50399.56550438375
Norway,2001,34683.643061315015
Poland,2001,365717.11660792783
Portugal,2001,73598.52020047184
Romania,2001,112096.40802875832
Russian Federation,2001,1404382.365625797
Slovakia,2001,42543.94094098177
Slovenia,2001,13791.495413737142
Spain,2001,336738.0841458518
Sweden,2001,20033.100650863085
Switzerland,2001,54531.05457458632
Türkiye,2001,208956.5606330186
Ukraine,2001,428631.81504296756
United Kingdom of Great Britain and Northern Ireland,2001,732743.2242904361
United States of America,2001,6410951.9488219535
Australia,2002,573076.7858888694
Austria,2002,73083.17781069165
Belarus,2002,47011.28348901678
Belgium,2002,145307.84920690508
Bulgaria,2002,42949.66731920588
Canada,2002,703795.1799749455
Croatia,2002,19684.21372463124
Cyprus,2002,8280.377205062821
Czechia,2002,138036.86023713963
Denmark,2002,79600.76626040266
Estonia,2002,12703.988056087905
European Union (Convention),2002,4158107.7116045146
Finland,2002,51539.37854162522
France,2002,506757.45218481874
Germany,2002,1055511.2566554265
Greece,2002,124757.66671894921
Hungary,2002,73414.88286031481
Iceland,2002,13777.742635593582
Ireland,2002,78275.28566564973
Italy,2002,531633.1042995944
Japan,2002,1285107.8472276614
Kazakhstan,2002,323618.9297508822
Latvia,2002,81.3992959245329
Liechtenstein,2002,256.7314572857795
Lithuania,2002,14269.067947421361
Luxembourg,2002,10332.279187605023
Malta,2002,3068.0970686556693
Monaco,2002,107.0188829909146
Netherlands,2002,223981.64557293605
New Zealand,2002,51726.17682966005
Norway,2002,32514.114375368496
Poland,2002,346813.40806627437
Portugal,2002,78480.37157914825
Romania,2002,116089.2318503791
Russian Federation,2002,1358516.064801029
Slovakia,2002,40678.19608503054
Slovenia,2002,12952.964347563358
Spain,2002,356375.69628101523
Sweden,2002,21644.823819843084
Switzerland,2002,51220.414535918804
Türkiye,2002,216341.81662404843
Ukraine,2002,416233.2460177049
United Kingdom of Great Britain and Northern Ireland,2002,710728.1780235859
United States of America,2002,6496664.7123028925
Australia,2003,585747.6357666603
Austria,2003,76334.78738861052
Belarus,2003,51409.39496695858
Belgium,2003,145730.31904804052
Bulgaria,2003,48293.5946031023
Canada,2003,723240.3949930351
Croatia,2003,21970.0564439209
Cyprus,2003,8660.10543401368
Czechia,2003,141835.2707687844
Denmark,2003,84476.16124171492
Estonia,2003,14969.933815834718
European Union (Convention),2003,4250729.691039984
Finland,2003,58622.63551253237
France,2003,504713.8312742758
Germany,2003,1046729.5088808326
Greece,2003,128857.44458233619
Hungary,2003,73933.24579952713
Iceland,2003,13740.314237137167
Ireland,2003,79242.35396018965
Italy,2003,559110.0808268597
Japan,2003,1280413.3195930717
Kazakhstan,2003,346736.39603140275
Latvia,2003,688.772336937998
Liechtenstein,2003,270.8327064136925
Lithuania,2003,15198.97007326913
Luxembourg,2003,10803.445296748461
Malta,2003,3290.336861361466
Monaco,2003,104.00603771430364
Netherlands,2003,225042.4788299977
New Zealand,2003,52740.60035091626
Norway,2003,31688.982438371506
Poland,2003,358068.4749108484
Portugal,2003,86228.89916712427
Romania,2003,121375.87930636448
Russian Federation,2003,1386494.14347035
Slovakia,2003,41351.38396883194
Slovenia,2003,12928.293648810519
Spain,2003,364050.47589864343
Sweden,2003,24764.655274987595
Switzerland,2003,52318.42449542774
Türkiye,2003,233636.14605665678
Ukraine,2003,419058.42489746684
United Kingdom of Great Britain and Northern Ireland,2003,716018.6263462105
United States of America,2003,6524558.969006192
Australia,2004,579608.4047439512
