                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.59596,                0.35952,                0.83533,                0.91071,                0.88977,                 0.9549,                0.79357,                0.66677,                0.41354,                0.90814,             0.00042925,             0.00042925,             0.00042925
                     78,                0.59544,                0.35904,                0.83561,                0.90586,                0.89616,                0.95372,                0.79358,                0.66243,                0.42184,                0.90683,             0.00041275,             0.00041275,             0.00041275
                     79,                 0.5938,                0.35631,                0.83621,                0.91534,                0.88795,                0.95378,                0.79285,                0.66406,                0.41408,                0.90567,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.5915,                0.35353,                0.83445,                0.91013,                0.89353,                0.95496,                0.79458,                0.65459,                0.40444,                0.89175,             0.00037974,             0.00037974,             0.00037974
                     81,                0.59092,                0.35603,                0.83452,                0.90793,                 0.8927,                0.95394,                0.79421,                0.64852,                0.42094,                0.89266,             0.00036324,             0.00036324,             0.00036324
                     82,                0.59152,                 0.3548,                0.83477,                 0.9112,                0.89163,                0.95417,                 0.7939,                0.66591,                0.40849,                0.91857,             0.00034674,             0.00034674,             0.00034674
                     83,                0.58382,                0.35074,                0.83303,                0.90985,                0.89129,                0.95369,                0.79302,                 0.6661,                0.40433,                0.91176,             0.00033023,             0.00033023,             0.00033023
                     84,                  0.588,                0.35074,                0.83262,                0.90771,                0.89475,                0.95371,                0.79474,                0.65948,                0.40227,                0.90341,             0.00031373,             0.00031373,             0.00031373
                     85,                0.58405,                0.34941,                0.83294,                0.90571,                0.89843,                0.95484,                0.79405,                0.65647,                0.40843,                 0.9154,             0.00029723,             0.00029723,             0.00029723
                     86,                0.58242,                0.34778,                0.83283,                0.90075,                0.89791,                 0.9531,                0.79262,                0.65033,                0.41105,                0.89453,             0.00028072,             0.00028072,             0.00028072
                     87,                0.58166,                 0.3464,                0.83241,                  0.907,                0.89476,                0.95353,                0.79323,                0.65192,                 0.4052,                0.89642,             0.00026422,             0.00026422,             0.00026422
                     88,                0.58118,                0.34462,                0.83191,                0.91141,                0.89232,                0.95444,                0.79483,                0.65211,                0.40826,                0.90428,             0.00024772,             0.00024772,             0.00024772
                     89,                0.57701,                0.34298,                0.83168,                0.91414,                0.88889,                 0.9536,                0.79389,                0.64644,                0.41399,                0.89574,             0.00023121,             0.00023121,             0.00023121
                     90,                0.57771,                0.34384,                0.83143,                 0.9092,                0.89311,                0.95299,                0.79317,                0.65279,                0.41354,                0.89848,             0.00021471,             0.00021471,             0.00021471
                     91,                0.57623,                0.34182,                0.83083,                0.90739,                0.89232,                0.95345,                0.79414,                0.64865,                0.41103,                0.90457,             0.00019821,             0.00019821,             0.00019821
                     92,                0.57504,                0.34042,                0.83017,                0.90588,                0.89327,                0.95298,                0.79427,                0.65339,                 0.4114,                0.90396,              0.0001817,              0.0001817,              0.0001817
                     93,                0.57664,                0.34166,                0.83246,                0.90645,                0.89553,                 0.9532,                0.79481,                 0.6503,                0.41133,                0.89893,              0.0001652,              0.0001652,              0.0001652
                     94,                0.57217,                0.33796,                0.83047,                0.90912,                0.89111,                 0.9528,                0.79447,                0.65167,                0.41126,                0.89785,              0.0001487,              0.0001487,              0.0001487
                     95,                0.57112,                0.33714,                0.83021,                0.91402,                0.88719,                0.95271,                0.79519,                0.65169,                0.40828,                0.89649,             0.00013219,             0.00013219,             0.00013219
                     96,                0.57003,                0.33663,                0.82978,                0.91152,                 0.8889,                0.95252,                0.79508,                 0.6507,                0.40337,                  0.898,             0.00011569,             0.00011569,             0.00011569
                     97,                0.56722,                 0.3345,                0.83122,                0.90717,                0.89352,                0.95283,                0.79499,                0.65573,                0.40304,                0.90341,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.56879,                0.33419,                0.82889,                0.91189,                0.89104,                0.95304,                0.79495,                0.65181,                0.40526,                0.89764,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.56787,                0.33506,                0.83038,                0.90638,                0.89484,                0.95288,                 0.7949,                0.65172,                0.41375,                 0.8998,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.56635,                0.33253,                0.82935,                0.90302,                0.89728,                0.95257,                0.79494,                0.64983,                 0.4096,                0.89992,             4.9677e-05,             4.9677e-05,             4.9677e-05
