epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,335.837,1.33695,1.30432,1.5589,0.75811,0.74195,0.78026,0.43814,1.52377,1.29475,1.61513,0.000511769,0.000511769,0.000511769
72,340.573,1.35741,1.34094,1.60205,0.77871,0.72735,0.80777,0.45986,1.47267,1.24303,1.55944,0.000495266,0.000495266,0.000495266
73,345.705,1.35875,1.3132,1.59151,0.76319,0.7078,0.76842,0.41261,1.49462,1.30519,1.56529,0.000478762,0.000478762,0.000478762
74,350.836,1.35134,1.27984,1.59502,0.79498,0.72081,0.80018,0.43455,1.48629,1.282,1.57512,0.000462259,0.000462259,0.000462259
75,355.588,1.35797,1.30659,1.60152,0.7509,0.70991,0.76412,0.42849,1.46179,1.29686,1.56381,0.000445756,0.000445756,0.000445756
76,360.407,1.36573,1.29448,1.59796,0.74848,0.72156,0.76349,0.40889,1.48944,1.3217,1.57043,0.000429253,0.000429253,0.000429253
77,365.292,1.33763,1.27459,1.56873,0.74017,0.70096,0.76607,0.40503,1.52784,1.33529,1.58139,0.000412749,0.000412749,0.000412749
78,370.428,1.35026,1.28185,1.57162,0.71768,0.70735,0.78139,0.43075,1.50314,1.28367,1.54967,0.000396246,0.000396246,0.000396246
79,375.264,1.35477,1.26099,1.57077,0.79706,0.69266,0.79586,0.45834,1.45121,1.25731,1.53842,0.000379743,0.000379743,0.000379743
80,380.736,1.31797,1.25866,1.52973,0.76864,0.71657,0.80575,0.46932,1.43982,1.23418,1.53571,0.000363239,0.000363239,0.000363239
81,385.743,1.32147,1.24332,1.52727,0.77699,0.72524,0.79803,0.43619,1.50591,1.3077,1.54515,0.000346736,0.000346736,0.000346736
82,390.535,1.30921,1.21608,1.54004,0.76398,0.71108,0.80534,0.48317,1.42848,1.19719,1.50506,0.000330233,0.000330233,0.000330233
83,395.241,1.30857,1.24934,1.54849,0.76938,0.72897,0.808,0.47936,1.42524,1.19329,1.52142,0.000313729,0.000313729,0.000313729
84,400.432,1.33195,1.28492,1.56195,0.71635,0.70814,0.77433,0.43723,1.47194,1.2661,1.53365,0.000297226,0.000297226,0.000297226
85,407.408,1.27518,1.1952,1.51481,0.75311,0.71094,0.78631,0.4463,1.44494,1.26007,1.53681,0.000280723,0.000280723,0.000280723
86,419.126,1.27422,1.22093,1.50741,0.82638,0.70863,0.80991,0.47037,1.41437,1.21264,1.53195,0.00026422,0.00026422,0.00026422
87,430.294,1.28884,1.18311,1.49625,0.75843,0.7685,0.8168,0.45992,1.41736,1.22587,1.5119,0.000247716,0.000247716,0.000247716
88,441.994,1.28414,1.19295,1.52247,0.78855,0.75275,0.82507,0.46294,1.4406,1.21905,1.54327,0.000231213,0.000231213,0.000231213
89,453.721,1.2786,1.21634,1.51911,0.77336,0.70666,0.80187,0.4666,1.45018,1.23756,1.54494,0.00021471,0.00021471,0.00021471
90,465.727,1.3102,1.18775,1.53401,0.79781,0.75482,0.83078,0.49552,1.40297,1.18561,1.51561,0.000198206,0.000198206,0.000198206
91,528.734,1.28983,1.41481,1.49184,0.79912,0.77093,0.83197,0.50818,1.39576,1.16023,1.53378,0.000181703,0.000181703,0.000181703
92,540.69,1.24076,1.24417,1.47881,0.78692,0.74037,0.82073,0.49355,1.43101,1.17145,1.57703,0.0001652,0.0001652,0.0001652
93,552.449,1.21482,1.17034,1.45725,0.79545,0.72584,0.82795,0.50082,1.39898,1.17034,1.54049,0.000148696,0.000148696,0.000148696
94,560.697,1.22784,1.1379,1.42396,0.82795,0.71138,0.82414,0.50153,1.38991,1.16675,1.51917,0.000132193,0.000132193,0.000132193
95,565.559,1.1993,1.10777,1.41368,0.7333,0.78504,0.8202,0.51537,1.36047,1.16445,1.49516,0.00011569,0.00011569,0.00011569
96,573.786,1.14755,1.05646,1.37473,0.78236,0.75157,0.82968,0.52241,1.35792,1.12698,1.48324,9.91865e-05,9.91865e-05,9.91865e-05
97,585.791,1.16621,1.06222,1.42486,0.76774,0.78239,0.8351,0.52381,1.35523,1.10902,1.48083,8.26832e-05,8.26832e-05,8.26832e-05
98,597.38,1.17051,1.05295,1.40506,0.81455,0.74246,0.83551,0.51949,1.36591,1.10844,1.50164,6.61799e-05,6.61799e-05,6.61799e-05
99,609.369,1.17586,1.07522,1.42381,0.78281,0.75531,0.84007,0.51962,1.37855,1.10821,1.52004,4.96766e-05,4.96766e-05,4.96766e-05
100,621.129,1.09958,1.01358,1.37675,0.79619,0.78722,0.84367,0.52765,1.38326,1.10029,1.52303,3.31733e-05,3.31733e-05,3.31733e-05
