epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,421.722,1.37571,1.01792,1.47716,0.83326,0.82315,0.89138,0.56859,1.3951,1.01385,1.32646,0.000379743,0.000379743,0.000379743
80,426.968,1.38148,1.03144,1.50363,0.75169,0.7742,0.81216,0.49476,1.38793,1.11168,1.31295,0.000363239,0.000363239,0.000363239
81,432.083,1.34762,1.01025,1.48694,0.83717,0.81889,0.88773,0.57849,1.38547,1.00762,1.32679,0.000346736,0.000346736,0.000346736
82,437.348,1.40873,1.03439,1.49336,0.73999,0.79436,0.81651,0.49987,1.41811,1.0398,1.37555,0.000330233,0.000330233,0.000330233
83,442.697,1.3625,0.99399,1.48551,0.7764,0.78566,0.80786,0.49634,1.42085,1.02895,1.37196,0.000313729,0.000313729,0.000313729
84,447.984,1.39817,1.01318,1.48919,0.83675,0.81585,0.89335,0.58882,1.36066,0.94229,1.32532,0.000297226,0.000297226,0.000297226
85,453.317,1.36784,1.01563,1.49544,0.7871,0.82789,0.84458,0.52672,1.39371,1.05616,1.3512,0.000280723,0.000280723,0.000280723
86,458.608,1.33233,0.95812,1.44968,0.76889,0.79145,0.8266,0.51043,1.38325,1.07573,1.34863,0.00026422,0.00026422,0.00026422
87,463.696,1.31756,0.95156,1.44013,0.81864,0.83883,0.85935,0.56755,1.33112,0.97005,1.33034,0.000247716,0.000247716,0.000247716
88,468.926,1.33221,0.95829,1.45398,0.82255,0.85346,0.88316,0.58695,1.3519,0.94371,1.33707,0.000231213,0.000231213,0.000231213
89,474.145,1.3056,0.95034,1.44628,0.8053,0.81224,0.85002,0.53506,1.38555,1.0246,1.33795,0.00021471,0.00021471,0.00021471
90,479.385,1.33826,0.98211,1.47571,0.8095,0.82199,0.85922,0.54503,1.37151,0.99021,1.32741,0.000198206,0.000198206,0.000198206
91,542.184,1.35419,1.23093,1.38732,0.87506,0.86871,0.91794,0.61942,1.36271,0.91215,1.35766,0.000181703,0.000181703,0.000181703
92,547.712,1.34402,1.03515,1.38876,0.88545,0.85692,0.91361,0.60193,1.37096,0.91209,1.39828,0.0001652,0.0001652,0.0001652
93,553.049,1.29661,0.94124,1.32881,0.90794,0.864,0.92427,0.63079,1.30026,0.84691,1.34969,0.000148696,0.000148696,0.000148696
94,558.265,1.29093,0.94692,1.35143,0.90042,0.80112,0.92182,0.62282,1.31202,0.86041,1.33731,0.000132193,0.000132193,0.000132193
95,563.572,1.26581,0.91553,1.30288,0.84761,0.87375,0.91235,0.62666,1.29808,0.8627,1.32658,0.00011569,0.00011569,0.00011569
96,568.781,1.23438,0.91196,1.32672,0.85227,0.86969,0.92347,0.63075,1.27692,0.84434,1.325,9.91865e-05,9.91865e-05,9.91865e-05
97,573.967,1.23885,0.89976,1.33297,0.88906,0.83712,0.93219,0.64606,1.26659,0.8439,1.31732,8.26832e-05,8.26832e-05,8.26832e-05
98,579.263,1.22869,0.89735,1.30759,0.87053,0.86497,0.93215,0.64384,1.29399,0.84695,1.32566,6.61799e-05,6.61799e-05,6.61799e-05
99,584.589,1.21255,0.85286,1.30452,0.85174,0.87547,0.93001,0.64119,1.28927,0.84163,1.32926,4.96766e-05,4.96766e-05,4.96766e-05
100,589.81,1.19189,0.86734,1.29059,0.85401,0.88363,0.92965,0.64128,1.28899,0.84139,1.33252,3.31733e-05,3.31733e-05,3.31733e-05
