城市之光,1931,9.3,155712人评价
源代码,2011,8.5,866145人评价
黑天鹅,2010,8.6,804036人评价
海边的曼彻斯特,2016,8.6,582086人评价
真爱至上,2003,8.5,761829人评价
波西米亚狂想曲,2018,8.6,635066人评价
雨人,1988,8.7,417893人评价
青蛇,1993,8.6,549206人评价
初恋这件小事,2010,8.5,1004845人评价
爱乐之城,2016,8.4,991734人评价
人工智能,2001,8.7,465302人评价
疯狂的麦克斯4：狂暴之路,2015,8.7,554773人评价
终结者2：审判日,1991,8.8,355713人评价
恋恋笔记本,2004,8.5,700202人评价
芙蓉镇,1987,9.3,155778人评价
虎口脱险,1966,8.9,270471人评价
新龙门客栈,1992,8.7,465212人评价
罗生门,1950,8.8,329734人评价
无耻混蛋,2009,8.7,503291人评价
崖上的波妞,2008,8.6,526256人评价
花束般的恋爱,2021,8.6,690220人评价
千钧一发,1997,8.8,317318人评价
彗星来的那一夜,2013,8.6,615878人评价
哈利·波特与死亡圣器(上),2010,8.6,613078人评价
萤火虫之墓,1988,8.7,416636人评价
高山下的花环,1984(中国大陆) / 1985,9.5,108189人评价
白日梦想家,2013,8.6,539847人评价
黑客帝国2：重装上阵,2003,8.7,422868人评价
奇迹男孩,2017,8.6,569005人评价
二十二,2015,8.7,300087人评价
火星救援,2015,8.5,767607人评价
战争之王,2005,8.7,384977人评价
血钻,2006,8.7,395496人评价
步履不停,2008,8.8,293405人评价
千年女优,2001,8.8,286166人评价
哈利·波特与凤凰社,2007,8.5,608453人评价
房间,2015,8.8,379491人评价
魂断蓝桥,1940,8.8,290043人评价
谍影重重2,2004,8.7,368286人评价
大红灯笼高高挂,1991,8.8,305060人评价
蜘蛛侠：平行宇宙,2018,8.6,700907人评价
弱点,2009,8.7,327285人评价
谍影重重,2002,8.6,447577人评价
阿飞正传,1990,8.5,533278人评价
朗读者,2008,8.6,466196人评价
再次出发之纽约遇见你,2013,8.6,442956人评价
隐藏人物,2016,8.9,231683人评价
