epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,364.297,1.32817,1.3809,1.70751,0.63887,0.77214,0.76408,0.46832,1.38441,1.36704,1.56054,0.000445756,0.000445756,0.000445756
76,368.97,1.31888,1.37465,1.71437,0.65707,0.77214,0.78384,0.4661,1.39651,1.30595,1.54549,0.000429253,0.000429253,0.000429253
77,373.759,1.34052,1.3698,1.71457,0.70338,0.79719,0.79758,0.49406,1.34689,1.31343,1.48468,0.000412749,0.000412749,0.000412749
78,378.474,1.3306,1.33605,1.69685,0.73653,0.75901,0.79189,0.46941,1.36966,1.32064,1.50251,0.000396246,0.000396246,0.000396246
79,383.092,1.3544,1.36469,1.74288,0.73786,0.77002,0.79026,0.47391,1.34035,1.29803,1.50302,0.000379743,0.000379743,0.000379743
80,387.805,1.2781,1.2844,1.66291,0.69156,0.81343,0.80851,0.51093,1.31942,1.27244,1.47273,0.000363239,0.000363239,0.000363239
81,392.539,1.28852,1.30858,1.6934,0.70033,0.76869,0.78922,0.48974,1.28854,1.2874,1.47849,0.000346736,0.000346736,0.000346736
82,397.101,1.29206,1.32133,1.66111,0.71494,0.7654,0.78943,0.4887,1.31054,1.26329,1.50534,0.000330233,0.000330233,0.000330233
83,401.646,1.28812,1.34678,1.6846,0.70253,0.71942,0.7917,0.49123,1.33114,1.32588,1.50001,0.000313729,0.000313729,0.000313729
84,406.469,1.28842,1.30896,1.68404,0.68145,0.75583,0.81315,0.5114,1.29031,1.24456,1.44265,0.000297226,0.000297226,0.000297226
85,411.191,1.27103,1.31461,1.66049,0.71639,0.80553,0.83463,0.53221,1.25574,1.22222,1.41779,0.000280723,0.000280723,0.000280723
86,415.871,1.28961,1.33927,1.67201,0.70641,0.82411,0.83082,0.52452,1.28798,1.23726,1.47006,0.00026422,0.00026422,0.00026422
87,420.581,1.29215,1.26997,1.6907,0.65187,0.74695,0.7709,0.50365,1.27382,1.25489,1.45169,0.000247716,0.000247716,0.000247716
88,425.491,1.26297,1.28748,1.66202,0.74183,0.7749,0.82743,0.514,1.3149,1.2295,1.45803,0.000231213,0.000231213,0.000231213
89,430.096,1.20669,1.20631,1.62525,0.73632,0.80969,0.83193,0.51972,1.28901,1.20501,1.44998,0.00021471,0.00021471,0.00021471
90,434.746,1.26448,1.27319,1.64739,0.73691,0.77712,0.83332,0.5214,1.2867,1.2139,1.46101,0.000198206,0.000198206,0.000198206
91,496.562,1.20495,1.35293,1.50162,0.67591,0.8034,0.80152,0.5098,1.35191,1.23473,1.52832,0.000181703,0.000181703,0.000181703
92,501.497,1.22867,1.23551,1.50471,0.69496,0.79427,0.80134,0.50076,1.34783,1.22315,1.5306,0.0001652,0.0001652,0.0001652
93,506.274,1.14298,1.10236,1.48229,0.68293,0.81151,0.81374,0.51847,1.33019,1.20609,1.53703,0.000148696,0.000148696,0.000148696
94,511.16,1.16704,1.10383,1.46819,0.70294,0.7936,0.81858,0.53367,1.30047,1.17187,1.5192,0.000132193,0.000132193,0.000132193
95,515.998,1.13418,1.09527,1.48746,0.75098,0.80673,0.83685,0.54631,1.29027,1.19554,1.50824,0.00011569,0.00011569,0.00011569
96,520.665,1.09746,1.06398,1.4409,0.73927,0.77621,0.82764,0.53932,1.27585,1.20118,1.498,9.91865e-05,9.91865e-05,9.91865e-05
97,525.311,1.09133,1.08044,1.45743,0.81549,0.70261,0.82625,0.54026,1.26658,1.16006,1.50172,8.26832e-05,8.26832e-05,8.26832e-05
98,529.944,1.08909,1.11626,1.45325,0.81671,0.68948,0.83091,0.54591,1.25806,1.14104,1.50053,6.61799e-05,6.61799e-05,6.61799e-05
99,534.569,1.09211,1.07282,1.44238,0.83234,0.68684,0.83655,0.55324,1.25721,1.13028,1.50339,4.96766e-05,4.96766e-05,4.96766e-05
100,539.14,1.04745,1.04675,1.38685,0.80968,0.69823,0.8384,0.55812,1.2493,1.12351,1.49849,3.31733e-05,3.31733e-05,3.31733e-05
